#Number,Rarity Rank,Rarity Percent
10,1,0.00001322308954008355%
0,2,0.00001322308954008355%
100,3,0.00001783579519360107%
11,4,0.00001783579519360107%
37,5,0.00140495326363387755%
97,6,0.00145784562179421154%
16,7,0.00156197745192236952%
99,8,0.00157354765526994292%
74,9,0.00159184472102889547%
81,10,0.00168594391636065280%
89,11,0.00170554791538810209%
30,12,0.00189505323932011392%
95,13,0.00208263660256315921%
63,14,0.00210685330724412609%
66,15,0.00225618965277675585%
12,16,0.00227406388718413626%
61,17,0.00227406388718413626%
64,18,0.00227406388718413670%
78,19,0.00234094811916014034%
94,20,0.00234094811916014034%
62,21,0.00238015611721503935%
90,22,0.00238015611721503935%
14,23,0.00240990806868022741%
47,24,0.00240990806868022741%
6,25,0.00249701132710414969%
25,26,0.00249916392307579114%
32,27,0.00249916392307579158%
56,28,0.00251032090487523672%
2,29,0.00260569820406515631%
72,30,0.00262186189345935692%
71,31,0.00263356663405515728%
52,32,0.00267767563186691905%
84,33,0.00272887666462096360%
17,34,0.00277684880341754576%
68,35,0.00277684880341754620%
91,36,0.00277684880341754620%
80,37,0.00294544319505361113%
23,38,0.00295628305333937727%
53,39,0.00306816999484751159%
1,40,0.00307946151389518500%
43,41,0.00317354148962005261%
41,42,0.00321880366384519247%
42,43,0.00325057367403379415%
87,44,0.00330577238502088823%
59,45,0.00333221856410105457%
54,46,0.00333529370120340006%
50,47,0.00337096529159060156%
21,48,0.00337096529159060200%
28,49,0.00338601424378520265%
35,50,0.00338601424378520265%
7,51,0.00343800328042172341%
40,52,0.00347106100427193188%
44,53,0.00348097832142699529%
60,54,0.00349089563858205739%
86,55,0.00351142217874020985%
18,56,0.00357023417582255946%
39,57,0.00362601908481978690%
8,58,0.00363634962352297683%
65,59,0.00363850221949461785%
3,60,0.00374551699065622454%
93,61,0.00376223804865022556%
92,62,0.00379010647864022740%
33,63,0.00380824978754406261%
26,64,0.00380824978754406305%
49,65,0.00385253176181782992%
19,66,0.00391272757059623472%
98,67,0.00392387494259223511%
15,68,0.00401305391856023996%
20,69,0.00401305391856023996%
96,70,0.00412006868972184664%
51,71,0.00423138865282673624%
36,72,0.00423138865282673710%
48,73,0.00423138865282673710%
9,74,0.00428428101098707066%
5,75,0.00429750410052715491%
45,76,0.00433409823204506002%
73,77,0.00445894879840026768%
34,78,0.00446279271977819813%
46,79,0.00451468565838027049%
83,80,0.00463730675033627825%
38,81,0.00465452751810940986%
4,82,0.00481566470227228881%
82,83,0.00485133629265949076%
31,84,0.00489090946324529340%
55,85,0.00513670901575710714%
58,86,0.00513670901575710714%
57,87,0.00535073855808032052%
27,88,0.00550080524867475797%
69,89,0.00570745446195234252%
88,90,0.00570745446195234252%
22,91,0.00571237468131609478%
29,92,0.00577879764272674640%
67,93,0.00579663343792034824%
76,94,0.00599282718504995891%
79,95,0.00601958087784036124%
77,96,0.00626036411295397607%
85,97,0.00627819990814757617%
70,98,0.00684894535434280981%
13,99,0.00684894535434281068%
24,100,0.00770506352363566245%
75,101,0.00913192713912374700%
